p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
ADAR-exons-0	4.19007997394068e-88	0.252468421299403	0.52	0.271	9.79640697907332e-84	0	ADAR
ANKRD44-others-2	6.68214428522203e-25	-0.256885584255685	0.814	0.848	1.56228533388491e-20	0	ANKRD44
CALM2-exons-0	4.3705021797217e-74	0.252876189017922	0.914	0.782	1.02182340961893e-69	0	CALM2
CDC42-others-1	2.16392244695747e-72	0.27801930237889	0.586	0.361	5.05925068098656e-68	0	CDC42
CSNK1A1-others-2	2.35369571282272e-115	0.281698269970517	0.434	0.178	5.50294057657951e-111	0	CSNK1A1
DDX17-exons-1	2.57698993582987e-118	0.315174409479132	0.637	0.35	6.02500246997023e-114	0	DDX17
DDX21-others-0	6.10244348049529e-98	0.31958333465074	0.522	0.267	1.4267512857398e-93	0	DDX21
DDX3X-exons-1	3.72656631485615e-123	0.368481252299906	0.625	0.342	8.71271204413367e-119	0	DDX3X
DDX5-exons-1	3.37078625285756e-54	-0.294672198422784	0.599	0.752	7.88089825918098e-50	0	DDX5
DNAJA1-others-0	1.00160737373395e-106	0.344677349317441	0.516	0.251	2.34175803978997e-102	0	DNAJA1
EIF4B-exons-2	1.23539703504496e-53	-0.263567745894307	0.325	0.508	2.88835826793511e-49	0	EIF4B
HLA-E-exons-0	4.6431845489697e-113	-0.321708911518124	0.951	0.98	1.08557654754912e-108	0	HLA-E
IRF8-others-2	2.67414730416244e-111	0.31873367665907	0.353	0.124	6.25215639713178e-107	0	IRF8
LITAF-exons-1	9.07399536801187e-61	-0.268009758683836	0.249	0.454	2.12150011704117e-56	0	LITAF
MBP-others-1	9.28435183230407e-76	0.261760778468635	0.498	0.268	2.17068145839269e-71	0	MBP
MS4A7-others-0	4.09176711867233e-222	0.373357947656355	0.44	0.105	9.5665515234559e-218	0	MS4A7
N4BP2L2-exons-1	9.27945963650522e-105	-0.364577007300685	0.326	0.601	2.16953766301492e-100	0	N4BP2L2
NSD3-exons-0	2.16988257080063e-62	-0.2598520694953	0.227	0.436	5.07318545053188e-58	0	NSD3
PCBP2-exons-0	1.92160396433607e-82	0.273096091798906	0.862	0.716	4.49271006861773e-78	0	PCBP2
PLAC8-exons-0	2.45141932523717e-48	-0.27217816718369	0.291	0.473	5.7314183824045e-44	0	PLAC8
